a- alatt
aluminium aluminium
aluminum aluminium
always mindig
amah dada
amalgam amalgam
amalgamation egybeolvasztas
amateurish amator
amatory erzeki
amazed amulo
amazement amulat
amazing bamulatos
ambassador nagykovet
ambassadress nagykovetseg
amber borostyanko
ambergris ambra
ambidextrous ketkezes
ambience kornyezet
ambient kornyezo
ambiguity felreerthetoseg
ambiguous bizonytalan
ambit hataskor
ambition ambicio
ambitious ambiciozus
ambivalent ambivalens
amble baktatas
ambrosia ambrozia
ambrosial ambrozia-
ambulance mentokocsi
ambulatory ambulatorium
ambuscade csapda
ambush elrejtozes
ambushed alcazott
amelioration javitas
amenable alkalmas
amendment helyesbites
amends karpotlas
amenity kellem
American amerikai
amethyst ametiszt
amethystine ametiszt-
amiability kedvesseg
amiable baratsagos
amiably baratsagosan
amic ammoniak-
amicability baratsagossag
amicable barati
amicably baratsagosan
amid kozepette
amidst kozepette
amiss baj
amissible elvesztheto
amity baratsag
ammonia ammonia
ammunition loszer
amnesia amnezia
amnesty amnesztia
amoeba amoba
among koze
amongst koze
amorous szerelmi
amorphous alaktalan
amortization amortizacio
amount mennyiseg
amp amper
amperage amperszam
amphibian keteltu
amphibious keteltu
amphitheatre amfiteatrum
amphitheatrical amfiteatrum-szeru
amphitryon hazigazda
ample boseges
amplifier erosito
amplitude amplitudo
amply bosegesen
ampoule ampulla
ampul ampulla
ampule ampulla
amulet amulett
amusement elvezet
amusing elvezetes
anachronism anakronizmus
anachronistic anakronisztikus
anaemia anemia
anaemic anemias
anaesthesia erzeketlenseg
anaesthetic erzestelenito
anaesthetist aneszteziologus
anagram anagramma
anagrammatic anagrammas
anagrammatical anagrammas
anagrammatically anagrammasan
anagrammatism anagrammakeszites
anagrammatist anagrammacsinalo
analeptic elenkito
analgesia analgezia
analgesic erzektelenito
analgetic erzektelenito
analogous analog
analogy analogia
anarchic anarchisztikus
anarchical anarchisztikus
anarchy anarchia
anatomical anatomiai
anatomically anatomiailag
anatomist anatomus
anatomy anatomia
ancestor elod
ancestral osi
ancestry eredet
anchor horgony
anchorage horgonyzohely
anchorman musorvezeto
anchovy ajoka
ancient antik
ancillary alarendelt
and es
anecdote adoma
anemia anemia
anemone anemona
anesthesia erzeketlenseg
anesthetic erzestelenito
anesthetist aneszteziologus
aneurism aneurizma
aneurysm aneurizma
anew ujbol
angel angyal
angelic angyali
angelica angyalgyoker
angelus urangyala
anger bosszusag
angle sarok
angled szogletes
angler horgasz
angry merges
anguish aggodalom
anguished elkinzott
angular esetlen
anhydrous szaraz
animal allat
animalistic allati
animate elo
animated elenk
animatedly elenken
animating serkento
animation elenkseg
animism animizmus
animist animista
animistic animisztikus
animosity ellensegeskedes
animus gyulolet
ankle boka
anklet bokafix
annalist evkonyviro
annals evkonyvek
annex epuletszarny
annexation bekebelezes
anniversary evfordulo
annotation kommentar
announcement bejelentes
announcer bemondo
annoyance bosszusag
annoying bosszanto
annoyingly bosszantoan
annual evenkenti
annular gyuru-
annulment ervenytelenites
annulus bolygomu-kulsogyuru
annunciation bejelentes
anode anod
anointing bedorzsoles
anomalous rendellenes
anomaly anomalia
anon azonnal
anon? kerem?
anonym alnev
anonymity ismeretlenseg
anonymous nevtelen
anonymously nevtelenul
anorak anorak
answer felelet
ant hangya
antagonism antagonizmus
antagonist ellenfel
antagonistic antagonisztikus
ante- -elotti
anteater hangyasz
antecedence elsobbseg
antecedent elotag
antecedents eloelet
antechamber eloszoba
antelope antilop
antenna antenna
anteroom elocsarnok
ante-room elocsarnok
anthem himnusz
anthill hangyaboly
anthology antologia
anthracene antracen
anthraquinone 9,10-diketoantracen
anthropocentric embercentrikus
anthropological antropologiai
anthropologist antropologus
anthropology antropologia
anti- anti-
antiaircraft legelharito
anti-aircraft legelharito
antibiosis antibiozis
antibiotic antibiotikum
anti-body antitest
anticipated elorelatott
anticipation elebevagas
anticipatory elolegzett
antics bohockodas
antidote ellenmereg
antimilitarism antimilitarizmus
antimilitarist antimilitarista
antimonial antimonos
antimoniate antimoniat
antimonic antimon-
antimonide antimonid
antimonious antimonos
antimony antimon
antimony-glance antimonit
antipathetic antipatikus
antipathy antipatia
antiperspirant izzadsaggatlo
antiquated divatjamult
antique antik
antiquities antikvitas
antiquity okor
anti-Semite antiszemita
anti-Semitism antiszemitizmus
antiseptic antiszeptikus
antithetic ellentetes
antithetical ellentetes
antiwar haboruellenes
antler agancs
antsy ideges
anus vegbelnyilas
anvil ullo
anvil-beak ullocsor
anvil-bed ulloalatet
anvil-block ulloalatet
anvil-cutter szogvago
anxiety aggaly
anxious aggodo
any akarki
anybody akarki
anyhow akarhogyan
anymore tobbe
anyplace barhova
anyway akarhogy
anywhere akarhol
apace gyorsan
apart kulon
apartment lakas
apathetic apatikus
apathetically apatikusan
apathy apatia
ape majom
apeman majomember
aperture nyilas
apiece darabonkent
aplomb hidegver
apocalypse apokalipszis
apocryphal apokrif
apologetic apologetikus
apologetics apologetika
apologist apologeta
apology bocsanatkeres
apoplectic gutauteses
apoplexy gutautes
aport balra
apostasy hitehagyas
apostate hitehagyott
apostle apostol
apostleship apostolkodas
apostolate apostolkodas
apostolic apostoli
apostrophe aposztrof
apotheosis dicsoites
appalling ijeszto
appallingly megdobbentoen
apparatus berendezes
apparel felszereles
apparent ketsegtelen
apparently ketsegtelenul
apparition jelenes
appeal felhivas
appealing konyorgo
appeasement kielegites
appeasing kielegites
appellant fellebbezo
appellate fellebbviteli
appellation elnevezes
appendage fuggelek
appendectomy vakbelmutet
appendicitis feregnyulvanylob
appetising etvagygerjeszto
appetite etvagy
appetizer eloetel
appetizing etvagygerjeszto
applause dicseret
apple alma
apple-pie almaspite
apples cicik
appliance eszkoz
applicability alkalmazhatosag
applicable alkalmazhato
applicant jelentkezo
applied alkalmazott
appointed kijelolt
appointment allas
appointments berendezes
apportionment felosztas
apposite helyenvalo
appraisal becsles
appraiser becsus
appraising becslo
appraisingly biraloan
appreciable erezheto
appreciably eszrevehetoen
appreciation aremelkedes
appreciative elismero
appreciatively elismeroen
apprehensible felfoghato
apprehension aggodas
apprehensive aggodo
apprehensively aggodva
apprentice gyakornok
apprenticeship tanoncsag
approach beallitas
approachable hozzaferheto
approaching kozeli
appropriate alkalmas
appropriateness alkalmassag
appropriation eltulajdonitas
approval elfogadas
approvingly elismeroen
approximate hozzavetoleges
approximately hozzavetolegesen
approximation kozelites
appurtenance hozzavalo
apricot kajszi
April aprilis
apron koteny
apropos apropo
apt alkalmas
aptitude adottsag
aptly megfeleloen
aquamarine akvamarin
aquarium akvarium
aquatic vizi
aqueduct vizvezetek
aquifer viztarozo
aquitard vizzaro
Arab arab
arabesque arab
arable muvelheto
arak arak
arbiter dontobiro
arbitrage arbitrazs
arbitrageur dontobiro
arbitrament dontes
arbitrary korlatlan
arbitration dontobiraskodas
arbitrator dontobiro
arbor fotengely
arbour lugas
arc iv
arcade arkadsor
arcane misztikus
arch bolthajtas
arch- fo-
archaeological archeologiai
archaeologist archeologus
archaeology archeologia
archaic elavult
archangel arkangyal
archbishop ersek
archdeacon archidiakonus
archdeaconate foesperesseg
archdeaconry foesperesseg
archducal fohercegi
archduchess fohercegno
archduchy fohercegseg
archduke foherceg
archeological archeologiai
archeologist archeologus
archeology archeologia
archer ijasz
archers ludtalpbetet
archery ijaszat
archetypal ostipusi
archetype archetipus
archipelago szigetvilag
architect epitesz
architecture epiteszet
architrave architrav
archives archivum
archivist leveltaros
archly huncutul
archness devajsag
archway arkadsor
ardent buzgo
ardently buzgon
ardor buzgalom
ardour buzgalom
arduous faradsagos
area felszin
areaway atjaro
areca areka-palma
areca-nut areka-dio
arena arena
arguable vitathato
arguably vitathatoan
argument erv
argumentative bebizonyithato
arid szaraz
aright helyesen
aristocracy arisztokracia
aristocrat arisztokrata
aristocratic arisztokratikus
aristocratically arisztokratikusan
arithmetic aritmetikai
arithmetical aritmetikai
ark barka
arm ag
armada armada
armament fegyverzet
armature armatura
armband karszalag
armchair karosszek
Armenia ormenyorszag
Armenian ormeny
armful nyalabnyi
arming armatura
armistice fegyverszunet
armload nyalabnyi
arm-lock karkulcs
armor fegyverzet
armory fegyvergyar
armour fegyverzet
armour-plate pancellemez
armour-plated pancellemezes
armoury fegyvertar
armpit honalj
arm-rack fegyverallvany
armrest karfa
arms fegyver
army hadsereg
aroma aroma
aromatic aromas
around fele
arousal ebredes
arpeggiated arpeggialt
arpeggio arpeggio
arrack rizspalinka
arraignment megvadolas
arrangement berendezes
arrangements elokeszuletek
arras falikarpit
array rend
arrears hatralek
arrest feltartoztatas
arrester tulfeszultseg-levezeto
arrestor tulfeszultseg-levezeto
arrival befutas
arrogance arrogancia
arrogant arrogans
arrogantly arrogansan
arrow nyil
arrowhead nyilfu
arrowhead-writing ekiras
arse far
arsenal arzenal
arsenic arzen
arsenium arzen
arson gyujtogatas
arsonist gyujtogato
art csel
artefact mutermek
arterial arterias
arterials fuutvonalak
artery arteria
artesian artezi
arthritis koszveny
arthritism artritizmus
arthropod izeltlabuak
arthropoda izeltlabuak
artichoke articsoka
article cikk
articulate ertheto
articulation artikulacio
artifact mutermek
artifice csel
artificer alkoto
artificial eroltetett
artificiality mestersegesseg
artificially mestersegesen
artillery tuzerseg
artilleryman tuzer
artist festomuvesz
artistic muveszi
artless artatlan
artlessly egyszeruen
artlessness artatlansag
arts bolcseszet
artwork illusztracio
arty giccses
arum kontyvirag
Aryan arja
as ahogyan
asbestos azbeszt
ascendancy befolyas
ascendant emelkedo
ascendency befolyas
ascendent emelkedo
ascension felemelkedes
ascent emelkedes
ascertainment megallapitas
asdic hangradar
asepsis sterilitas
aseptic fertozesmentes
ash hamu
ashamed megszegyenitve
ashen hamu-
ashlar epuletko
ashlaring termeskoburkolat
ashore parton
ashtray hamutarto
ashy hamu-
Asia azsia
Asian azsiai
Asiatic azsiai
aside el
asinine ostoba
askew ferden
asleep alomban
aslope ferde
asp aspiskigyo
asparagus sparga
a-sparkle szikrazo
aspect megvilagitas
aspen nyarfa
aspersion becsmerles
asphalt aszfalt
asphyxia fulladas
asphyxiation fulladas
aspirant folyamodo
aspirate hehezet
aspiration torekves
aspiring torekvo
ass baszas
assailant tamado
assassin merenylo
assassination merenylet
assault ostromlas
assaultive tamado
assay elemzes
assegai landzsa
assemblage gyulekezet
assembly gyules
assent beleegyezes
assertion allitas
assertive allito
assertively allitva
assessment ertekeles
assessor adofelugyelo
asset birtok
assets aktivak
asshole faszfej
assiduous kitarto
assiduously kitartoan
assign engedmenyes
assignation megallapitas
assignment atruhazas
assimilation asszimilacio
assimilative asszimilalo
assistance segedlet
assistant alkalmazott
associate kisegito-
association asszociacio
assonance asszonanc
assorted osztalyozott
assortment fajta
assumable felteheto
assumption felteves
assurance bizonyossag
assured bebiztositott
assuredly bizonyosan
assuring biztositas
asterisk csillagocska
astern hatra
asteroid aszteroida
asthma asztma
asthmatic asztmas
astonishing elkepeszto
astonishingly bamulatosan
astonishment csodalkozas
astounding meghokkento
astoundingly meghokkentoen
astral csillag-
astride lovagloulesben
astrodust csillagpor
astrologer csillagjos
astronaut urhajos
astronautical urhajozasi
astronautics urhajozas
astronomer csillagasz
astronomy csillagaszat
astrophysicist asztrofizikus
astute agyafurt
astutely okosan
astuteness agyafurtsag
asunder kette
asylum elmegyogyintezet
asymptote aszimptota
asymptotic aszimptotikus
asymptotical aszimptotikus
atheism ateizmus
atheist ateista
athlete atleta
athletic atletikai
athletics atletika
athwart ferden
atlas atlasz
atmogenic atmoszferikus
atmosphere atmoszfera
atmospheric atmoszferikus
atoll atoll
atom atom
atomic atom-
atomical atom-
atonal atonalis
atonality atonalitas
atonement bunhodes
atop legfelul
atrocious brutalis
atrociously brutalisan
atrociousness atrocitas
atrocity aljassag
atrophy elcsokevenyesedes
atropine atropin
attach kapcsolat
attache attase
attache-case aktataska
attached bekotott
attachment egybefuzes
attack roham
attacker tamado
attainable elerheto
attainment eleres
attainments kepesseg
attempt kiserlet
attendance apolas
attendant benzinkutas
attendee hallgato
attention figyelem
attentive figyelmes
attenuate csokkent
attenuated higitott
attenuation higulas
attenuative csillapito
attic manzard
attire ruha
attitude allasfoglalas
attorney ugyved
attractive bajos
attributable tulajdonithato
attribute jelzo
attrition elhasznalas
aubergine padlizsan
auction arveres
auctioneer arveresvezeto
audacious arcatlan
audaciousness arcatlansag
audacity arcatlansag
audible hallhato
audibly hallhatoan
audience hallgatosag
audit konyvvizsgalat
audition hallas
auditive hallasi
auditor konyvszakerto
auditory hallasi
auger acsfuro
auger-bit furocsucs
auger-hole furat
auger-smith furogyarto
auger-smithery furogyar
auger-stem furorud
augmentation hosszabbitas
augur augur
august augusztus
aunt nagyneni
auntie nenike
aunty nenike
aural ful-
aurally fullel
auspices partfogas
auspicious kedvezo
auspiciously kedvezoen
austere aszketa
austerely egyszeruen
austerity egyszeruseg
Australia Ausztralia
Australian ausztraliai
Austria Ausztria
Austrian osztrak
Austro-Hungarian osztrak-magyar
auteurial rendezoi
authentic autentikus
authentication hitelesites
authenticity hitelesseg
author iro
authorisation engedelyezes
authoritarian tekintelyelvu
authoritative hiteles
authoritatively hatarozottan
authorities hatosag
authority engedely
authorization engedelyezes
authorship szerzoseg
autism narcisszizmus
autobiographic oneletrajzi
autobiographical oneletrajzi
autobiography oneletrajz
autoclave autoklav
autoclaving csiratlanitas
autocracy onkenyuralom
autocue sugogep
auto-da-fe konyvegetes
autograph alairas
auto-ignition ongyulladas
autoklaving csiratlanitas
automatic automata
automatically automatikusan
automation automatizalas
automobile auto
automotive auto-
autonomous autonom
autonomy autonomia
autopilot robotpilota
autopsic autoptikus
autopsical autoptikus
autopsy boncolas
autumn osz
aux kiegeszito
auxiliaries segedcsapatok
auxiliary kiegeszito
avail hasznossag
availability elerhetoseg
available beszerezheto
avalanche lavina
avarice fosvenyseg
avaricious fosveny
avast! eleg!
avenger bosszuallo
avenue fasor
average atlagos
averager atlagolo
averaging atlagolas
averseness idegenkedes
aversion idegenkedes
avertable elharithato
averted elforditott
avertible elharithato
averting elharitas
avian madar-
aviary madarhaz
aviation repules
aviator aviatikus
avid kapzsi
avidity kapzsisag
avidly mohon
avoidance elkerules
avowal bevallas
avowedly beismerten
awakening ebredes
award dij
awarding megiteles
aware elovigyazatos
awareness tudatossag
awash vizmosta
away el
awe felelem
awe-inspiring dobbenetes
awesome felelmetes
awe-struck megfelemlitett
awful ahitatos
awfully ahitattal
awkward alkalmatlan
awkwardly esetlenul
awkwardness kellemetlenseg
awning napellenzo
awry ferde
ax balta
axe balta
axeman hoher
axial axialis
axiom alapigazsag
axiomatic axiomatikus
axiomatical axiomatikus
axle tengely
axle-box kerekagy
axle-tree tengely
aye igen
azeotropic azeotrop
Aztecan aztek
baa begetes
baa! bee!
baaing begetes
baal-lamb bari
baas fonok
babble csobogas
babbler fecsego
babel hangzavar
baboo ur
baboon pavian
baby baba
baby-grow rugdalozo
baby-talk gugyoges
baccara bakkara
baccarat bakkara
bachelor agglegeny
back elmaradt
backboard palank
backbone gerinc
back-chat feleseles
backdrop hatterfuggony
backer csendestars
backfilling feltoltes
backfire utogyujtas
backgammon ostabla
background hatter
backhoe markologep
backing fogadas
backlash hezag
backpack hatitaska
back-rest hattamasz
backroom mellekszoba
backs hatvedsor
backseat kisules
back-slapping bizalmaskodo
backsliding lecsuszas
backstop vegutkozo
backstroke hatuszas
backtalk feleseles
backup megtamasztas
backward fejletlen
backwards hatra
backwash sodras
backwater stagnalas
back-wind hatszel
backwoods oserdo
bacon szalonna
bad beteg
baddie gonosztevo
badge jelveny
badger borz
badly nagyon
badmash csibesz
badminton tollaslabda
bad-tempered zsembes
baffle bordazat
baffled meghiusult
bafflement zavarodottsag
baffling elkepeszto
bag borond
baggage poggyasz
baggy bo
bagpiper dudas
bags hosszunadrag
bail biztositek
bailer balazo
bailiff tiszttarto
bailing kanalazas
bailout kisegites
bait csaletek
baize poszto
bakelite bakelit
baker pek
bakery pekseg
balance egyensuly
balanced kiegyensulyozott
balcony balkon
bald csupasz
balderdash hanta
baldface arcatlan
balding kopaszodo
baldness kopaszsag
bale bala
baleful baljoslatu
balefully baljoslatuan
baler balazo
balk akadaly
balkily csokonyosen
balkiness csokonyosseg
balky csokonyos
ball ampullagomb
ballad ballada
ballast ballaszt
ballet balett
ballet-dancer balerina
ballet-girl balett-tancosno
balletomane balettrajongo
ballistic ballisztikus
ballistics ballisztika
balloon ballon
ballooning felfuvodas
balloonist leghajos
ballot szavazocedula
